Company,Email,Salutation,First Name,Last Name,Phone Number,Date Approved for Support Coordination,Website
Berni Care Human Services,bernicareservices@gmail.com,,Berni Care,Berni Care,973-602-9141,11/2017,
Beyond Today,info@beyondtodayedu.com,,Beyond Today,Beyond Today,862-285-1180,05/2018,www.beyondtodayedu.com
Blue Hope Supportive Care,Info@bluehopesc.com,,Blue Hope,Blue Hope,"973-868-9640
",06/2014,www.bluehopesc.com
Brain Injury Alliance of New Jersey,info@bianj.org,,Brain Injury Alliance,Brain Injury Alliance,732-745-0200,10/2013,www.bianj.org
Bridges Support Coordination,Info@bridgesnj.com,,Bridges Support,Bridges Support,"908-878-8303
",09/2016,"www.bridgesnj.com 
"
Brighter Days Network,info@brighterdaysnetwork.com,,Brighter Days,Brighter Days,"201-888-0194
",06/2018,
Brighter Days Network,dpaulino@brighterdaysnetwork.com,,Brighter Days,Brighter Days,"201-888-0194
",06/2018,
BUC Services dba Options Haven,info@optionshaven.com,,BUC,BUC,908-333-5088,08/2018,
BUC Services dba Options Haven,info@bucsupportservices.com,,BUC,BUC,908-333-5088,08/2018,
Cadely Care Services,info@ccsnow.org,,Cadely Care,Cadely Care,908-977-0660,06/2019,
Cadely Care Services,Info@cesnow.org,,Cadely Care,Cadely Care,908-977-0660,06/2019,
Care Support Services,grace@caresupportservices.org,,Grace,Grace,732-670-4438,04/2018,
Caring for Families Social Services NJ,vcheco@caringforfamilies.net,,Vcheco,Vcheco,908-249-0061,05/2019,www.caringforfamilies.net
Caring for Families Social Services NJ,info@caringforfamilies.net,,Caring for Families,Caring for Families,908-249-0061,05/2019,www.caringforfamilies.net
Champion Learning,championlearningllc@gmail.com,,Champion Learning,Champion Learning,908-967-9690,06/2018,
Choice Milestones,nfo@choicemilestones.com,,Choice Milestones,Choice Milestones,609-389-3031,01/2016,www.choicemilestones.com
Coalition for food and health Equity,Info@coalitionequity.org,,Coalition for food and health Equity,Coalition for food and health Equity,800-943-1752,,Coalitionequity.org
The Columbus Organization,info@columbusorg.com,,The Columbus Organization,The Columbus Organization,800-229-5116,06/2018,www.columbusorg.com
The Columbus Organization,Sdanderson@columbusorg.com,,Derson,Derson,800-229-5116,06/2018,www.columbusorg.com
Community Access Unlimited,info@caunj.org,,Community Access,Community Access,908-354-3040,09/2013,www.caunj.org
Community Access Unlimited,ASanchez@caunj.org,,Sanchez,Sanchez,908-354-3040,09/2013,www.caunj.org
Compassionate Care Service,compassionatecareservicesllc@gmail.com,,Compassionate Care,Compassionate Care,973-986-3177,12/2014,www.compassionatecareservices.us/
"Community options enterprise, Inc",Natalyrose.padilla@comop.org,,Natalyrose,Padilla,973-809-4865,,Www.comop.org
Comprehensive Care Network,comprehensivecarenetwork@gmail.com,,Comprehensive Care,Comprehensive Care,855-374-7816,06/2017,
"De Trinity Community Living Corporation
",detrinitycomm@gmail.com,,"De Trinity
","De Trinity
",646-400-4562,03/2018,
"Disability Services and Advocacy
",services@dsausa.net,,Disability Services,Disability Services,732-232-6133,09/2013,www.dsausa.net
Elmy's Special Services II,Development@elmysspecialservices.org,,Elmy's Special ,Elmy's Special ,862-294-4456,02/2014,
Elmy's Special Services II,support@elmysspecialservices.org,,Elmy's Special ,Elmy's Special ,862-294-4456,02/2014,
"Employment Network Team of New Jersey
",admin@entjobs.org,,Employment Network,Employment Network,609-710-5459,01/2014,https://entjobs.org
"Equal Opportunity Support Services
",equalopportunityss@gmail.com,,Equal Opportunity ,Equal Opportunity ,"732-641-0660
",04/2020,
Essential Coordinated Services,rmaore@essentialcoordinatedsvsllc.com,,Maore,Maore,732-499-9051,05/2018,https://essentialcoordinatedsvsllc.com/
Essential Coordinated Services,essentialcoordinatedsvsllc@gmail.com,,Essential Coordinated ,Essential Coordinated ,732-499-9051,05/2018,https://essentialcoordinatedsvsllc.com/
Family Care of New Jersey,info@fcofnj.com,,Family Care,Family Care,973-492-0606,07/2018,Www.fcofnj.com
Family Journey,ckim@familyjourneynj.org,,Family Journey,Family Journey,201-615-8459,05/2023,
First Lynx,Info.firstlynx@firstlynx.org,,First Lynx,First Lynx,201-673-0234,02/2018,
Heightened Independence and Progress - Bergen,bergen@hipcil.org,,Bergen,Bergen,"201-996-9100
",10/2013,www.hipcil.org
House of Caring Hands,houseofcaringhands@gmail.com,,House of Caring,House of Caring,347-387-8024,01/2018,
Iyaho  Social Services of New Jersey,inquiries@iyaho.org,,Iyaho  Social,Iyaho  Social,862-253-4646,10/2013,www.iyaho.org
"Jewish Family Service of Metrowest New Jersey
",info@jfsmetrowest.org,,Jewish Family,Jewish Family,973-765-9050,10/2014,www.jfsmetrowest.org
Karing Associates,info@Karing.info,,Karing Associates,Karing Associates,732-245-7599,09/2020,
Karing 4 U,Lcalvo@Karing-4-u.com,,Calvo,Calvo,973-464-9679,04/2022,
Karing 4 U,Kmunoz@Karing-4-u.com,,Munoz,Munoz,973-464-9679,04/2022,
Karing 4 U,info@karing-4-u.com,,Karing,Karing,973-464-9679,04/2022,
Keystone Independent Living,krecicar@keycommres.com,,Recicar,Recicar,"570-702-8000
",09/2013,www.keycommres.org
Limitless Bounds,akellish@limitlessboundsni.com,,Akellish,Akellish,973-851-9957,01/2018,
Memorable Moments,memorablemomentslicnj@gmail.com,,Memorable Moments,Memorable Moments,201-468-1542,07/2021,
Mercy Drive Regional Corporation,intake@mercydriverc.com,,Mercy Drive ,Mercy Drive ,201-418-8526,05/2014,
Mercy Drive Regional Corporation,mercydriveinc@aol.com,,Mercy Drive ,Mercy Drive ,201-418-8526,05/2014,
New Avenues,admin@newavenuesnj.org,,New Avenues,New Avenues,908-441-7212,06/2015,www.newavenuesnj.org
NJ Social Services,Denesisb@njsocialservices.net,,Denesis,Betances,908-440-5443,03/2020,
NLC Supports,info@nlcsupport.us,,NLC,NLC,732-742-4638,08/2014,www.nlcsupport.us
No Limit Health Care and Social Services,admin@nolimithealthcare.com,,No Limit Health Care,No Limit Health Care,908-202-8564   908-751-4411,04/2018,
Owen Home Health Care 1,care@owenhhc.com,,Owen Home,Owen Home,908-258-7796,01/2014,www.owenhhc.com
PACOPAD,irisrivera@pacopad.com,,Iris,Rivera,,,
"Partnership for Successful Living
",cbrown@partnershipforsuccessfulliving.com,,Brown,Brown,609-760-0488,09/2016,www.partnershipforsuccessfulliving.com
PRISM Support Services,info@prismsupportservices.com,,PRISM Support,PRISM Support,609-498-7760,03/2014,www.prismsupportservices.com 
PRISM Support Services,igriffiths@prismsupportservices.com,,PRISM Support,PRISM Support,609-498-7760,03/2014,www.prismsupportservices.com 
Quality First Support Group,georgie.nguyen@qualityfirstsupportgroup.com,,George,George,856-521-9095,01/2018,
Quality First Support Group,info@qualityfirstsupportgroup.com,,Quality First,Quality First,856-521-9095,01/2018,
Savants new state ,jcarlson@ssanys.org,,Jennifer ,Carlson,518-782-0600,,Www.saanys.org
Shore Direct Care,ikennedy@shoredirectcare.com,,Kennedy,Kennedy,609-271-2040,10/2015,www.shoredirectcare.com
Shore Direct Care,creynolds@shoredirectcare.com,,Reynolds,Reynolds,609-271-2040,10/2015,www.shoredirectcare.com
Shore Direct Care,eosasogie@shoredirectcare.com,,Eosa,Eosa,609-271-2040,10/2015,www.shoredirectcare.com
Shore Direct Care,nosasogie@shoredirectcare.com,,Nosa,Nosa,609-271-2040,10/2015,www.shoredirectcare.com
Solutions for U,Info@solutionsforu01.com,,Solution,Solution,609-373-9800,07/2015,
Solutions for U,solutionsforu01@gmail.com,,Solution,Solution,609-373-9800,07/2015,
Spectrum Care Management and Counseling,info@spectrumcmc.com,,Spectrum Care,Spectrum Care,973-530-4155,09/2013,www.spectrumcmc.com
Support Connection,info@supportconnectionnj.com,,Support Connection,Support Connection,844-777-8296,12/2018,www.supportconnectionnj.com
"Supportive Choices
",info@supportivechoices.com,,Supportive Choices,Supportive Choices,973-320-3299,05/2014,www.supportivechoices.com
Values into Action,info@vianj.org,,Values into Action,Values into Action,856-985-6801,06/2013,
